2022-11-23 19:10:19.121 [main] INFO  com.lzp.SpringbootMyBatisApplication - Started SpringbootMyBatisApplication in 1.437 seconds (JVM running for 2.191)
2022-11-23 19:10:21.080 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-23 19:10:21.080 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-23 19:10:21.080 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-11-23 19:10:37.663 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-23 19:10:40.153 [main] INFO  com.lzp.SpringbootMyBatisApplication - Starting SpringbootMyBatisApplication using Java 1.8.0_201 on Lzping with PID 9584 (D:\Idea_workspace\springboot_all\springboot_MyBatis\target\classes started by Lzping in D:\Idea_workspace\springboot_all\springboot_MyBatis)
2022-11-23 19:10:40.155 [main] INFO  com.lzp.SpringbootMyBatisApplication - No active profile set, falling back to 1 default profile: "default"
2022-11-23 19:10:40.744 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-23 19:10:40.745 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-23 19:10:40.745 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-23 19:10:40.745 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-23 19:10:40.747 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-23 19:10:40.751 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-23 19:10:40.752 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-23 19:10:40.752 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-23 19:10:40.833 [main] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring embedded WebApplicationContext
2022-11-23 19:10:40.833 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 658 ms
2022-11-23 19:10:40.878 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-23 19:10:40.938 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-23 19:10:41.320 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-23 19:10:41.332 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/springbootMybatis'
2022-11-23 19:10:41.348 [main] INFO  com.lzp.SpringbootMyBatisApplication - Started SpringbootMyBatisApplication in 1.482 seconds (JVM running for 2.251)
2022-11-23 19:10:42.959 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-23 19:10:42.959 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-23 19:10:42.960 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-11-23 19:26:41.364 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-23 19:26:46.244 [main] INFO  com.lzp.SpringbootMyBatisApplication - Starting SpringbootMyBatisApplication using Java 1.8.0_201 on Lzping with PID 38692 (D:\Idea_workspace\springboot_all\springboot_MyBatis\target\classes started by Lzping in D:\Idea_workspace\springboot_all\springboot_MyBatis)
2022-11-23 19:26:46.245 [main] INFO  com.lzp.SpringbootMyBatisApplication - No active profile set, falling back to 1 default profile: "default"
2022-11-23 19:26:46.814 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-23 19:26:46.814 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-23 19:26:46.814 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-23 19:26:46.814 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-23 19:26:46.816 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-23 19:26:46.821 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-23 19:26:46.822 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-23 19:26:46.822 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-23 19:26:46.905 [main] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring embedded WebApplicationContext
2022-11-23 19:26:46.905 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 639 ms
2022-11-23 19:26:46.953 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-23 19:26:47.014 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-23 19:26:47.380 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-23 19:26:47.391 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/springbootMybatis'
2022-11-23 19:26:47.397 [main] INFO  com.lzp.SpringbootMyBatisApplication - Started SpringbootMyBatisApplication in 1.387 seconds (JVM running for 2.121)
2022-11-23 19:26:55.873 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-23 19:26:55.873 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-23 19:26:55.873 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-11-23 19:26:55.977 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.EmpMapper.findAll - ==>  Preparing: select * from emp
2022-11-23 19:26:55.993 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.EmpMapper.findAll - ==> Parameters: 
2022-11-23 19:26:56.014 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.EmpMapper.findAll - <==      Total: 15
2022-11-23 19:34:04.369 [http-nio-8080-exec-7] DEBUG com.lzp.mapper.EmpMapper.findAll - ==>  Preparing: select * from emp
2022-11-23 19:34:04.369 [http-nio-8080-exec-7] DEBUG com.lzp.mapper.EmpMapper.findAll - ==> Parameters: 
2022-11-23 19:34:04.374 [http-nio-8080-exec-7] DEBUG com.lzp.mapper.EmpMapper.findAll - <==      Total: 15
2022-11-23 19:45:17.327 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-23 19:45:21.902 [main] INFO  com.lzp.SpringbootMyBatisApplication - Starting SpringbootMyBatisApplication using Java 1.8.0_201 on Lzping with PID 29156 (D:\Idea_workspace\springboot_all\springboot_MyBatis\target\classes started by Lzping in D:\Idea_workspace\springboot_all\springboot_MyBatis)
2022-11-23 19:45:21.904 [main] INFO  com.lzp.SpringbootMyBatisApplication - No active profile set, falling back to 1 default profile: "default"
2022-11-23 19:45:22.468 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-23 19:45:22.469 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-23 19:45:22.469 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-23 19:45:22.469 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-23 19:45:22.471 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-23 19:45:22.476 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-23 19:45:22.476 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
